,w1,w2,cosin
268,憂鬱症,顯示,0.023224955
269,憂鬱症,穩定,0.055206027
270,憂鬱症,學名,0.28717947
271,憂鬱症,面對,0.21063708
272,憂鬱症,痛苦,0.033801038
273,憂鬱症,意念,0.016638132
274,憂鬱症,管理,0.079205334
275,憂鬱症,家族,0.07747033
276,憂鬱症,分享,0.1622973
277,憂鬱症,說話,0.0107287355
278,憂鬱症,正念,0.16580153
279,憂鬱症,恐慌症,0.074987665
280,憂鬱症,外在,0.025855802
281,憂鬱症,手冊,0.05234184
282,憂鬱症,上升,0.07224741
283,憂鬱症,煩躁,0.029092137
284,憂鬱症,事物,0.05312724
285,憂鬱症,回收,0.1650251
286,憂鬱症,分為,0.00071225595
287,憂鬱症,成因,0.112425186
288,憂鬱症,人數,0.12233685
290,憂鬱症,全球,0.25624007
291,憂鬱症,專家,0.05919355
292,憂鬱症,風險,0.09857038
293,憂鬱症,負擔,0.12322694
294,憂鬱症,自責,0.022210354
295,憂鬱症,價值感,0.085142106
296,憂鬱症,集中,0.1210358
297,憂鬱症,特別,0.07445583
300,憂鬱症,觀察,0.029330485
301,憂鬱症,鼓勵,0.020377008
302,憂鬱症,上述,0.07890827
303,憂鬱症,日常,0.1382041
305,憂鬱症,期望,0.07224713
307,憂鬱症,追蹤,0.055962093
308,憂鬱症,科學,0.034209203
309,憂鬱症,失衡,0.14352843
311,憂鬱症,立即,0.04666087
312,憂鬱症,更新,0.08452483
313,憂鬱症,悲觀,0.0039954334
314,憂鬱症,簡單,0.005910687
315,憂鬱症,人生,0.14657259
316,憂鬱症,院區,0.049998134
319,憂鬱症,及早,0.025250632
321,憂鬱症,機制,0.033780564
323,憂鬱症,統計,0.054191045
324,憂鬱症,博士,0.077183634
325,憂鬱症,西藥,0.007237001
326,憂鬱症,簡稱,0.17568938
327,憂鬱症,兒童,0.050213993
328,憂鬱症,輕生,0.13700463
329,憂鬱症,急診,0.060641557
330,憂鬱症,服藥,0.08326121
331,憂鬱症,迴圈,0.060813002
334,憂鬱症,抑制,0.11971167
336,憂鬱症,抑鬱症,0.049050823
337,憂鬱症,找到,0.05548919
339,憂鬱症,抑制劑,0.17256775
340,憂鬱症,關懷,0.18545873
342,憂鬱症,提升,0.009449791
343,憂鬱症,美國,0.07730721
344,憂鬱症,分析,0.08123198
346,憂鬱症,生病,0.02940706
348,憂鬱症,感受,0.232005
350,憂鬱症,促進,0.1570023
352,憂鬱症,簡介,0.008790232
354,憂鬱症,目前,0.15425812
356,憂鬱症,抗鬱劑,0.1970468
357,憂鬱症,影響到,0.06638573
358,憂鬱症,重大,0.024219804
362,憂鬱症,專注,0.110549636
364,憂鬱症,注意,0.04679652
365,憂鬱症,性慾,0.0643114
366,憂鬱症,突然,0.019684587
367,憂鬱症,補充,0.07519981
368,憂鬱症,蛋白質,0.06263696
369,憂鬱症,經由,0.024255866
370,憂鬱症,強烈,0.046969
372,憂鬱症,普遍,0.056212977
374,憂鬱症,查詢,0.081784405
375,憂鬱症,避免,0.083238035
376,憂鬱症,適合,0.0467913
378,憂鬱症,至少,0.1523335
379,憂鬱症,調整,0.099311054
380,憂鬱症,參考,0.03588009
381,憂鬱症,國際,0.034817897
382,憂鬱症,聲明,0.11106117
383,憂鬱症,訊息,0.095194876
384,憂鬱症,完整,0.022227604
385,憂鬱症,責任,0.11890275
387,憂鬱症,人員,0.08916273
388,憂鬱症,出版,0.054804623
389,憂鬱症,共同,0.025785085
390,憂鬱症,經濟,0.1393142
391,憂鬱症,影音,0.08257085
394,憂鬱症,空虛,0.009673081
395,憂鬱症,失智症,0.014492695
396,憂鬱症,走出,0.05491081
397,憂鬱症,指數,0.043523584
398,憂鬱症,經歷,0.08278172
399,憂鬱症,情況,0.093399025
400,憂鬱症,學習,0.13627213
401,憂鬱症,傷害,0.10196244
403,憂鬱症,星期,0.07224469
404,憂鬱症,開啟,0.015204152
405,憂鬱症,症候群,0.006511189
406,憂鬱症,甲狀腺素,0.043495253
407,憂鬱症,依賴,0.062586844
408,憂鬱症,時期,0.09650882
409,憂鬱症,掛號,0.046739183
411,憂鬱症,遲緩,0.031907022
412,憂鬱症,練習,0.0007623695
413,憂鬱症,發病,0.0047312975
414,憂鬱症,減壓,0.0209927
415,憂鬱症,差別,0.08750071
416,憂鬱症,過多,0.06510343
417,憂鬱症,提到,0.111031145
418,憂鬱症,趨勢,0.06583211
419,憂鬱症,大部分,0.0011916328
420,憂鬱症,減少,0.048153263
422,憂鬱症,基因,0.09808858
423,憂鬱症,頭痛,0.15628402
424,憂鬱症,討論,0.09351577
426,憂鬱症,過往,0.12637042
429,治療,症狀,0.4360844
430,治療,憂鬱,0.50178325
431,治療,情緒,0.4702422
432,治療,患者,0.5821603
433,治療,心理,0.65672517
434,治療,醫師,0.5084133
435,治療,疾病,0.5799048
436,治療,壓力,0.4250952
437,治療,藥物,0.5743505
438,治療,生活,0.5343632
439,治療,健康,0.5210912
440,治療,身體,0.30695388
441,治療,自殺,0.37156886
442,治療,發作,0.22043896
443,治療,嚴重,0.20131187
444,治療,檢測,0.45280567
445,治療,需要,0.54875374
446,治療,精神,0.46742898
447,治療,無法,0.13826036
448,治療,出現,0.1666431
449,治療,問題,0.21718389
450,治療,建議,0.31289107
451,治療,閱讀,0.028090589
452,治療,血清素,0.25326973
453,治療,前兆,0.11536761
454,治療,自我,0.23895857
455,治療,造成,0.3327686
456,治療,持續,0.16361474
457,治療,診斷,0.3534994
458,治療,思考,0.10896553
459,治療,容易,0.16272447
460,治療,神經,0.3349405
462,治療,罹患,0.33310127
463,治療,原因,0.21826503
464,治療,因素,0.41718042
465,治療,研究,0.40902174
466,治療,協助,0.44705403
467,治療,低落,0.045288235
468,治療,療法,0.35449976
469,治療,台灣,0.290852
470,治療,行為,0.18369049
471,治療,物質,0.28329813
472,治療,防治,0.24477616
473,治療,時間,0.12653251
474,治療,失去,0.29324695
475,治療,飲食,0.0790804
476,治療,資訊,0.23523471
477,治療,使用,0.27312428
478,治療,導致,0.2529476
479,治療,失眠,0.16085431
480,治療,表現,0.1359433
481,治療,相關,0.29501408
482,治療,睡眠,0.08463679
483,治療,預防,0.23051544
484,治療,服務,0.08715947
486,治療,精神科,0.102219224
487,治療,功能,0.046840496
488,治療,程度,0.16176337
489,治療,知道,0.07403469
491,治療,運動,0.2419777
492,治療,家人,0.19672973
493,治療,發現,0.1556455
494,治療,感覺,0.10042834
495,治療,診所,0.20853883
496,治療,心情,0.2735275
497,治療,影響,0.21357769
498,治療,通常,0.38181353
499,治療,方式,0.29982418
501,治療,自律神經,0.20954669
502,治療,復發,0.13713433
503,治療,推薦,0.32717237
504,治療,大腦,0.24638176
505,治療,了解,0.09884574
506,治療,病患,0.3734096
507,治療,焦慮症,0.20755592
508,治療,常見,0.23211163
510,治療,增加,0.3292365
511,治療,負面,0.13007228
512,治療,改變,0.18316716
513,治療,資料,0.3885955
514,治療,長期,0.1930616
515,治療,專業,0.32842398
517,治療,康健,0.12658513
518,治療,工作,0.3934144
520,治療,醫學,0.37981385
521,治療,認知,0.28359672
522,治療,醫療,0.25322804
523,治療,網站,0.06988735
524,治療,興趣,0.120370016
525,治療,生理,0.25808218
526,治療,心理治療,0.36929095
527,治療,重要,0.24507986
528,治療,社會,0.20666105
529,治療,躁鬱症,0.050936088
530,治療,幫助,0.22113492
531,治療,發生,0.13709196
532,治療,線上,0.06385419
533,治療,病人,0.26884568
534,治療,產生,0.11508517
535,治療,尋求,0.30972704
536,治療,協會,0.022418616
537,治療,體重,0.17761907
538,治療,衛生,0.1623163
539,治療,提供,0.23594192
540,治療,方法,0.17420447
541,治療,效果,0.19380423
542,治療,諮商,0.22234176
543,治療,服用,0.35632914
544,治療,就醫,0.26225045
545,治療,念頭,0.14403833
546,治療,事情,0.1042906
547,治療,世界,0.280786
548,治療,狀態,0.05792158
549,治療,女性,0.17907329
550,治療,刺激,0.21963727
551,治療,臨床,0.17162192
552,治療,調節,0.12272123
553,治療,障礙,0.06672615
554,治療,以下,0.04415199
555,治療,更多,0.27958623
556,治療,超過,0.274822
558,治療,醫生,0.35795808
559,治療,醫院,0.08368127
560,治療,陪伴,0.20192102
561,治療,包括,0.124407224
562,治療,接受,0.15021223
563,治療,缺乏,0.17633167
564,治療,主要,0.18686876
565,治療,支持,0.13077775
566,治療,適當,0.07199797
567,治療,傳導,0.21546245
568,治療,量表,0.021065786
569,治療,評估,0.2151374
570,治療,習慣,0.12633172
571,治療,家庭,0.18198718
572,治療,關係,0.12523425
573,治療,延伸,0.17518952
574,治療,大於,0.003538344
575,治療,青少年,0.12300793
577,治療,中心,0.12971744
578,治療,照顧,0.17527282
579,治療,傳真,0.11456106
581,治療,過度,0.2283954
582,治療,組織,0.3638556
583,治療,預約,0.19039395
584,治療,性格,0.12451897
586,治療,認識,0.05797971
587,治療,現在,0.25037938
588,治療,門診,0.041370228
590,治療,身心科,0.153697
591,治療,動作,0.07960915
592,治療,悲傷,0.019706715
593,治療,注意力,0.20575728
598,治療,重度,0.12459557
599,治療,反應,0.024165006
600,治療,諮詢,0.17908198
601,治療,困擾,0.122373514
602,治療,狀況,0.09093177
603,治療,舒服,0.022998534
604,治療,朋友,0.018981375
606,治療,感到,0.109584056
607,治療,病情,0.23411462
610,治療,明顯,0.08639244
611,治療,活動,0.05083505
612,治療,標準,0.13635823
613,治療,遺傳,0.13842903
614,治療,腎上腺素,0.21987642
615,治療,慢性,0.03710658
616,治療,透過,0.0902701
617,治療,測試,0.06951654
618,治療,維持,0.027951129
620,治療,死亡,0.0746515
621,治療,罪惡感,0.13911295
622,治療,營養,0.09698473
623,治療,有效,0.1585187
624,治療,稱為,0.078005195
625,治療,人際,0.08845325
626,治療,身心,0.16172531
627,治療,異常,0.09463715
630,治療,相應,0.15754497
631,治療,發展,0.11055328
633,治療,振芝,0.12610719
636,治療,系統,0.09593053
637,治療,逐漸,0.059156425
638,治療,過敏,0.07362058
639,治療,衛教,0.13640395
640,治療,指出,0.15849599
641,治療,親友,0.0023511015
642,治療,能力,0.09028814
643,治療,傾向,0.063172825
644,治療,作用,0.04772762
645,治療,減輕,0.0048221312
646,治療,天然,0.1664125
647,治療,重視,0.20363763
648,治療,選擇,0.15331265
649,治療,腦部,0.05757688
650,治療,下降,0.010161938
651,治療,專科,0.0859691
652,治療,疲倦,0.06311729
653,治療,介紹,0.17463279
654,治療,臺灣,0.18452573
655,治療,濫用,0.12687296
656,治療,判斷,0.12750804
657,治療,學會,0.18580014
658,治療,處理,0.17180736
659,治療,輕度,0.06205977
660,治療,無力,0.0012560077
661,治療,患有,0.121925965
662,治療,副作用,0.025979592
663,治療,想法,0.12900245
665,治療,反覆,0.078895554
667,治療,脂肪酸,0.19906181
669,治療,政策,0.12041999
670,治療,方面,0.25009903
671,治療,心悸,0.067791745
672,治療,活力,0.109584644
673,治療,正確,0.11370755
675,治療,不適,0.051978912
676,治療,住院,0.17629685
677,治療,說明,0.09553063
680,治療,創傷,0.08224417
681,治療,資源,0.25850853
683,治療,男性,0.020386104
684,治療,決定,0.009929867
685,治療,給予,0.028953813
687,治療,緩解,0.036601916
688,治療,法人,0.094550766
689,治療,商品,0.2419585
690,治療,易怒,0.032121632
691,治療,社團,0.10142196
692,治療,工具,0.14667928
693,治療,不斷,0.07299212
695,治療,事件,0.088874675
696,治療,顯示,0.03566391
697,治療,穩定,0.058335908
698,治療,學名,0.30694783
699,治療,面對,0.26660618
700,治療,痛苦,0.021985661
701,治療,意念,0.037222292
702,治療,管理,0.062791914
703,治療,家族,0.062243015
704,治療,分享,0.16524574
706,治療,正念,0.11841792
707,治療,恐慌症,0.089015275
708,治療,外在,0.04644037
709,治療,手冊,0.06559427
710,治療,上升,0.09241147
712,治療,事物,0.041515186
713,治療,回收,0.14585674
715,治療,成因,0.13588007
716,治療,人數,0.17135644
718,治療,全球,0.33264866
719,治療,專家,0.058860816
720,治療,風險,0.1095953
721,治療,負擔,0.1073648
722,治療,自責,0.06022255
723,治療,價值感,0.054827318
724,治療,集中,0.08098905
725,治療,特別,0.05608426
727,治療,不良,0.0060612857
728,治療,觀察,0.04838146
729,治療,鼓勵,0.050426513
730,治療,上述,0.102748916
731,治療,日常,0.16372165
733,治療,期望,0.13024575
734,治療,困難,0.010390528
735,治療,追蹤,0.098753065
736,治療,科學,0.0069656484
737,治療,失衡,0.20801467
739,治療,立即,0.060721755
740,治療,更新,0.08157046
741,治療,悲觀,0.0006718971
742,治療,簡單,0.04002744
743,治療,人生,0.09023267
744,治療,院區,0.06766118
747,治療,及早,0.03134852
749,治療,機制,0.007676197
750,治療,像是,0.015211076
751,治療,統計,0.07821292
752,治療,博士,0.06830828
753,治療,西藥,0.041984655
754,治療,簡稱,0.23371518
755,治療,兒童,0.057080455
756,治療,輕生,0.09336066
757,治療,急診,0.0022224947
758,治療,服藥,0.045428447
762,治療,抑制,0.10623504
764,治療,抑鬱症,0.0215863
765,治療,找到,0.07594243
766,治療,正視,0.04236158
767,治療,抑制劑,0.20113845
768,治療,關懷,0.15114337
770,治療,提升,0.030339569
771,治療,美國,0.08125526
772,治療,分析,0.10702826
774,治療,生病,0.0052002
775,治療,來源,0.03049767
776,治療,感受,0.19404274
778,治療,促進,0.059654206
781,治療,專區,0.0004995335
782,治療,目前,0.23951313
784,治療,抗鬱劑,0.1352766
785,治療,影響到,0.05704184
786,治療,重大,0.05296427
790,治療,專注,0.14344205
792,治療,注意,0.0043955445
793,治療,性慾,0.016588185
794,治療,突然,0.0012079328
795,治療,補充,0.03213583
797,治療,經由,0.059272483
798,治療,強烈,0.02574911
799,治療,乒乓球,0.023847762
800,治療,普遍,0.09079834
802,治療,查詢,0.062387887
803,治療,避免,0.11812116
804,治療,適合,0.04096026
806,治療,至少,0.108760096
807,治療,調整,0.03469804
808,治療,參考,0.029133722
809,治療,國際,0.068189576
810,治療,聲明,0.067822784
811,治療,訊息,0.11237177
812,治療,完整,0.07100525
813,治療,責任,0.11612497
815,治療,人員,0.109139785
816,治療,出版,0.05433193
817,治療,共同,0.07925026
818,治療,經濟,0.15952352
819,治療,影音,0.03638026
820,治療,老年,0.011800468
822,治療,空虛,0.0074818674
823,治療,失智症,0.04716498
824,治療,走出,0.054477844
825,治療,指數,0.039390177
826,治療,經歷,0.051861353
827,治療,情況,0.10943447
828,治療,學習,0.10348503
829,治療,傷害,0.027774014
831,治療,星期,0.05475761
832,治療,開啟,0.003917154
833,治療,症候群,0.0360873
834,治療,甲狀腺素,0.07151437
835,治療,依賴,0.10165134
836,治療,時期,0.011180259
837,治療,掛號,0.008139286
839,治療,遲緩,0.01328803
841,治療,發病,0.0077795377
842,治療,減壓,0.04308985
843,治療,差別,0.12256117
844,治療,過多,0.05194509
845,治療,提到,0.10928142
846,治療,趨勢,0.06132917
848,治療,減少,0.045566045
850,治療,基因,0.036791548
851,治療,頭痛,0.11140552
852,治療,討論,0.018872656
853,治療,多巴胺,0.0044258204
854,治療,過往,0.133371
857,症狀,憂鬱,0.49703455
858,症狀,情緒,0.35340938
859,症狀,患者,0.27965653
860,症狀,心理,0.28999603
861,症狀,醫師,0.1558671
862,症狀,疾病,0.2772254
863,症狀,壓力,0.31332293
864,症狀,藥物,0.3968128
865,症狀,生活,0.27192336
866,症狀,健康,0.2030231
867,症狀,身體,0.25940144
868,症狀,自殺,0.2477298
869,症狀,發作,0.20197886
870,症狀,嚴重,0.22484715
871,症狀,檢測,0.29579937
872,症狀,需要,0.25108135
873,症狀,精神,0.15310232
874,症狀,無法,0.18017283
875,症狀,出現,0.24070702
876,症狀,問題,0.19854802
877,症狀,建議,0.22939494
878,症狀,閱讀,0.07762289
879,症狀,血清素,0.11198226
880,症狀,前兆,0.15601641
881,症狀,自我,0.27711314
882,症狀,造成,0.15390266
883,症狀,持續,0.12824906
884,症狀,診斷,0.12182139
885,症狀,思考,0.20823887
886,症狀,容易,0.056196682
887,症狀,神經,0.14943959
888,症狀,改善,0.15769702
889,症狀,罹患,0.12915006
890,症狀,原因,0.20116955
891,症狀,因素,0.11875899
892,症狀,研究,0.16644432
893,症狀,協助,0.21468948
894,症狀,低落,0.068489
895,症狀,療法,0.14995214
896,症狀,台灣,0.13128906
897,症狀,行為,0.21264741
898,症狀,物質,0.16213113
899,症狀,防治,0.043243147
901,症狀,失去,0.17773584
903,症狀,資訊,0.042505
904,症狀,使用,0.19055885
905,症狀,導致,0.06171836
906,症狀,失眠,0.09143207
907,症狀,表現,0.18875284
908,症狀,相關,0.12533163
909,症狀,睡眠,0.004481701
910,症狀,預防,0.004777327
911,症狀,服務,0.07054136
912,症狀,焦慮,0.121562645
914,症狀,功能,0.06847754
915,症狀,程度,0.14932992
916,症狀,知道,0.049321417
918,症狀,運動,0.09262075
919,症狀,家人,0.10560723
920,症狀,發現,0.12650695
921,症狀,感覺,0.08166868
922,症狀,診所,0.043788742
923,症狀,心情,0.068074964
924,症狀,影響,0.06596084
925,症狀,通常,0.21688515
926,症狀,方式,0.085839964
927,症狀,一半,0.0057555996
928,症狀,自律神經,0.17970279
929,症狀,復發,0.07847656
930,症狀,推薦,0.10108603
931,症狀,大腦,0.09877448
932,症狀,了解,0.08580881
933,症狀,病患,0.1440464
934,症狀,焦慮症,0.18615715
935,症狀,常見,0.13052988
937,症狀,增加,0.14102665
938,症狀,負面,0.094118394
939,症狀,改變,0.070415035
940,症狀,資料,0.09055831
941,症狀,長期,0.08045584
942,症狀,專業,0.13683966
943,症狀,失調,0.07803857
944,症狀,康健,0.055533618
945,症狀,工作,0.14708474
947,症狀,醫學,0.13269538
948,症狀,認知,0.023202114
949,症狀,醫療,0.19923833
950,症狀,網站,0.09897298
951,症狀,興趣,0.15465866
952,症狀,生理,0.13391979
953,症狀,心理治療,0.15514879
954,症狀,重要,0.12741886
955,症狀,社會,0.0010249466
957,症狀,幫助,0.13993269
958,症狀,發生,0.13567206
959,症狀,線上,0.046384007
960,症狀,病人,0.22738096
961,症狀,產生,0.11818653
962,症狀,尋求,0.17659861
963,症狀,協會,0.07963948
964,症狀,體重,0.1305751
965,症狀,衛生,0.04988066
966,症狀,提供,0.17908463
967,症狀,方法,0.02118086
968,症狀,效果,0.1062582
969,症狀,諮商,0.13168345
970,症狀,服用,0.049901236
971,症狀,就醫,0.08010758
972,症狀,念頭,0.15069838
973,症狀,事情,0.060468603
974,症狀,世界,0.13397473
975,症狀,狀態,0.09745206
976,症狀,女性,0.044215154
977,症狀,刺激,0.18593821
978,症狀,臨床,0.04161577
979,症狀,調節,0.076409034
980,症狀,障礙,0.0010747798
981,症狀,以下,0.072072186
982,症狀,更多,0.15420084
983,症狀,超過,0.16464227
984,症狀,正常,0.06371728
985,症狀,醫生,0.17627217
986,症狀,醫院,0.05102171
987,症狀,陪伴,0.2340709
989,症狀,接受,0.05420329
991,症狀,主要,0.07129728
992,症狀,支持,0.08009073
993,症狀,適當,0.0733491
994,症狀,傳導,0.058180947
995,症狀,量表,0.15693417
996,症狀,評估,0.16246325
998,症狀,家庭,0.15542226
999,症狀,關係,0.02358541
1000,症狀,延伸,0.013208818
1001,症狀,大於,0.081370585
